benchmark,cwe,marker,static_time,symb_time,total_time,exploit,
/bench/results/res-20240929T012449/CWE-22/443_GHSA-f7jg-mcvw-9gwv/reecerver-0.1.2/server.js,CWE-22,Exited 0,33.23732,9.6e-05,33.2727,false,
/bench/results/res-20240929T012449/CWE-22/433_GHSA-78h7-fgq9-625x/quickserver-1.1.0/lib/quickserver.js,CWE-22,Exited 0,29.080424,0.000147,29.1131,false,
/bench/results/res-20240929T012449/CWE-22/418_GHSA-rr77-w4w8-w8wp/tencent-server-0.0.2/tencent-server.js,CWE-22,Exited 0,34.536689,0.000129,34.5678,false,
/bench/results/res-20240929T012449/CWE-22/385_GHSA-vcqg-cmv3-wj57/rtcmulticonnection-client-1.0.5/server.js,CWE-22,Exited 0,34.04985,7.8e-05,34.0839,false,
/bench/results/res-20240929T012449/CWE-22/419_GHSA-m8pw-hgvj-cwcm/sgqserve-1.0.0/index.js,CWE-22,Exited 0,33.413086,0.000123,33.4468,false,
/bench/results/res-20240929T012449/CWE-22/150_GHSA-f5mh-hq6h-whxv/bitty-0.2.10/index.js,CWE-22,Exited 0,37.380181,8.6e-05,37.4141,false,
/bench/results/res-20240929T012449/CWE-22/390_GHSA-rrfc-g2gh-xvjm/22lixian-1.0.0/demo.js,CWE-22,Exited 0,33.464956,9.6e-05,33.5,false,
/bench/results/res-20240929T012449/CWE-22/456_GHSA-qw9c-8p76-3q2x/serve46-1.0.0/index.js,CWE-22,Exited 0,33.421948,0.000105,33.4552,false,
/bench/results/res-20240929T012449/CWE-22/GHSA-v3px-6cc8-f8j3/servey-2.2.0/lib/server/index.js,CWE-22,Exited 0,1.984441,0.,2.02038,false,
/bench/results/res-20240929T012449/CWE-22/412_GHSA-4vfj-c2xf-8r48/looppake-3.0.0/index.js,CWE-22,Exited 0,33.500759,0.000114,33.5335,false,
/bench/results/res-20240929T012449/CWE-22/476_GHSA-cpp2-q66x-fq44/jikes-0.0.1/app.js,CWE-22,Exited 0,38.474175,9.5e-05,38.5061,false,
/bench/results/res-20240929T012449/CWE-22/1092_GHSA-vx5w-cxch-wwc9/f-serv-0.2.0/lib/f-serv.js,CWE-22,Exited 0,29.055487,0.000147,29.0897,false,
/bench/results/res-20240929T012449/CWE-22/386_GHSA-pr8j-3v7m-j4vv/myprolyz-1.1.0/src/index.js,CWE-22,Exited 2,0.,0.,0.0307269,false,
/bench/results/res-20240929T012449/CWE-22/384_GHSA-76p6-gpvf-6wmv/hftp-0.0.6/lib/static_server.js,CWE-22,Exited 0,35.090162,9.9e-05,35.1272,false,
/bench/results/res-20240929T012449/CWE-22/475_GHSA-7vq3-wcjw-3fxh/lab6.brit95-0.1.1/static.js,CWE-22,Exited 0,33.661858,0.000103,33.6967,false,
/bench/results/res-20240929T012449/CWE-22/394_GHSA-2958-5r4r-wvv6/caolilinode-1.0.0/caolili.js,CWE-22,Exited 0,33.066217,0.000157,33.1042,false,
/bench/results/res-20240929T012449/CWE-22/350_GHSA-94x5-94wf-m445/gomeplus-h5-proxy-1.0.15/command.js,CWE-22,Exited 0,26.202956,0.000145,26.2333,false,
/bench/results/res-20240929T012449/CWE-22/1438_GHSA-v45m-2wcp-gg98/bin-links-1.1.5/index.js,CWE-22,Exited 0,30.729388,9.4e-05,30.7632,false,
/bench/results/res-20240929T012449/CWE-22/397_GHSA-f499-jv47-9wxf/desafio-1.1.0/desafio.js,CWE-22,Exited 0,34.052889,0.000106,34.0831,false,
/bench/results/res-20240929T012449/CWE-22/364_GHSA-2f29-pmpx-vj62/serverwg-1.0.0/index.js,CWE-22,Exited 0,32.195917,8.1e-05,32.2304,false,
/bench/results/res-20240929T012449/CWE-22/421_GHSA-p2r2-h92r-w2mg/mfrserver-1.0.0/index.js,CWE-22,Exited 0,33.708626,8.7e-05,33.7444,false,
/bench/results/res-20240929T012449/CWE-22/805_GHSA-74cp-qw7f-7hpw/statics-server-0.0.9/index.js,CWE-22,Exited 0,33.705218,0.000124,33.7385,false,
/bench/results/res-20240929T012449/CWE-22/GHSA-8pww-pp5r-rff8/marscode-1.0.1-0/index.js,CWE-22,Exited 0,33.689792,0.000145,33.726,false,
/bench/results/res-20240929T012449/CWE-22/1143_GHSA-2j5x-56p6-hj6x/statichttpserver-0.9.7/lib/middleware/directory.js,CWE-22,Exited 0,28.472231,9.8e-05,28.5003,false,
/bench/results/res-20240929T012449/CWE-22/459_GHSA-pr49-5hhf-6mm6/serverabc-1.0.0/index.js,CWE-22,Exited 0,33.60551,7.3e-05,33.638,false,
/bench/results/res-20240929T012449/CWE-22/396_GHSA-hpw4-m59j-9p52/dylmomo-1.0.0/index.js,CWE-22,Exited 0,33.496158,8.5e-05,33.529,false,
/bench/results/res-20240929T012449/CWE-22/349_GHSA-xq98-5rcf-5wqh/badjs-sourcemap-server-0.1.11/index.js,CWE-22,Exited 0,26.208361,0.000134,26.2429,false,
