benchmark,cwe,marker,fuzz_time,expl_time,total_time,taintpath,exploit,
results/nodemedic/20240906-secbench/node-dig/node-dig-1.0.1_NodeMedic,CWE-471,Exited 0,0.,0.,9.020653824,false,false,
results/nodemedic/20240906-secbench/gammautils/gammautils-0.0.81_NodeMedic,CWE-471,Exited 0,0.,0.,9.547604389,false,false,
results/nodemedic/20240906-secbench/wrlc/wrlc-0.2.5_NodeMedic,CWE-22,Exited 0,7.534,10.638,45.182723267,true,false,
results/nodemedic/20240906-secbench/connection-tester/connection-tester-0.2.0_NodeMedic,CWE-78,Exited 0,91.736,0.,110.970225287,false,false,
results/nodemedic/20240906-secbench/objnest/objnest-5.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,9.709492082,false,false,
results/nodemedic/20240906-secbench/mfrserver/mfrserver-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.013989103,false,false,
results/nodemedic/20240906-secbench/servey/servey-2.2.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.64682903,false,false,
results/nodemedic/20240906-secbench/keyd/keyd-1.3.4_NodeMedic,CWE-471,Exited 0,0.,0.,9.082166463,false,false,
results/nodemedic/20240906-secbench/onion-oled-js/onion-oled-js-0.0.2_NodeMedic,CWE-78,Exited 0,9.905,5.096,52.621394053,true,false,
results/nodemedic/20240906-secbench/wenluhong11/wenluhong11-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.967880526,false,false,
results/nodemedic/20240906-secbench/object-path-set/object-path-set-1.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,8.908018812,false,false,
results/nodemedic/20240906-secbench/veval/veval-1.0.0_NodeMedic,CWE-94,Exited 0,0.,0.,7.946230458,false,false,
results/nodemedic/20240906-secbench/statics-server/statics-server-0.0.9_NodeMedic,CWE-22,Exited 0,0.,0.,70.781085871,false,false,
results/nodemedic/20240906-secbench/static-html-server/static-html-server-0.1.2_NodeMedic,CWE-22,Exited 0,0.,0.,9.373805059,false,false,
results/nodemedic/20240906-secbench/yxxserver/yxxserver-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.898634899,false,false,
results/nodemedic/20240906-secbench/patchmerge/patchmerge-1.0.1_NodeMedic,CWE-471,Exited 0,0.,0.,9.44498524,false,false,
results/nodemedic/20240906-secbench/patchmerge/patchmerge-1.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,9.325585869,false,false,
results/nodemedic/20240906-secbench/zhaolei1111/zhaolei1111-1.1.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.253010354,false,false,
results/nodemedic/20240906-secbench/wangshuai/wangshuai-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.906867184,false,false,
results/nodemedic/20240906-secbench/jquery/jquery-1.11.0_NodeMedic,CWE-471,Exited 0,0.,0.,7.779699862,false,false,
results/nodemedic/20240906-secbench/xopen/xopen-1.0.0_NodeMedic,CWE-78,Exited 0,0.,0.,8.601736784,false,false,
results/nodemedic/20240906-secbench/deep-defaults/deep-defaults-1.0.5_NodeMedic,CWE-471,Exited 0,0.,0.,8.354628198,false,false,
results/nodemedic/20240906-secbench/servershuai/servershuai-1.2.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.06792107,false,false,
results/nodemedic/20240906-secbench/ffmpegdotjs/ffmpegdotjs-0.0.4_NodeMedic,CWE-78,Exited 0,22.418,25.417,98.320563796,true,false,
results/nodemedic/20240906-secbench/simpl-schema/simpl-schema-1.10.0_NodeMedic,CWE-471,Exited 0,0.,0.,9.131521566,false,false,
results/nodemedic/20240906-secbench/rollup-plugin-serve-favicon/rollup-plugin-serve-favicon-0.4.2_NodeMedic,CWE-22,Exited 0,0.,0.,8.904592187,false,false,
results/nodemedic/20240906-secbench/buns/buns-1.1.6_NodeMedic,CWE-78,Exited 0,0.,0.,9.026769348,false,false,
results/nodemedic/20240906-secbench/mathjs/mathjs-7.4.0_NodeMedic,CWE-94,Exited 0,0.,0.,10.22820374,false,false,
results/nodemedic/20240906-secbench/keyget/keyget-2.2.0_NodeMedic,CWE-471,Exited 0,0.,0.,14.13469254,false,false,
results/nodemedic/20240906-secbench/uekw1511server/uekw1511server-1.0.1_NodeMedic,CWE-22,Exited 0,0.,0.,10.086093585,false,false,
results/nodemedic/20240906-secbench/pathval/pathval-1.1.0_NodeMedic,CWE-471,Exited 0,0.,0.,8.275010423,false,false,
results/nodemedic/20240906-secbench/pytservce/pytservce-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.178445714,false,false,
results/nodemedic/20240906-secbench/hot-formula-parser/hot-formula-parser-3.0.0_NodeMedic,CWE-94,Exited 0,0.,0.,7.868396656,false,false,
results/nodemedic/20240906-secbench/extra-asciinema/extra-asciinema-1.0.0_NodeMedic,CWE-78,Exited 0,9.684,10.161,37.160158848,true,false,
results/nodemedic/20240906-secbench/yypsulie11/yypsulie11-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.911986161,false,false,
results/nodemedic/20240906-secbench/hostr/hostr-2.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.108131881,false,false,
results/nodemedic/20240906-secbench/portprocesses/portprocesses-1.0.4_NodeMedic,CWE-78,Exited 0,8.61,5.069,23.420248594,true,false,
results/nodemedic/20240906-secbench/srverqq/srverqq-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.871208196,false,false,
results/nodemedic/20240906-secbench/bmoor/bmoor-0.8.11_NodeMedic,CWE-471,Exited 0,0.,0.,9.701364594,false,false,
results/nodemedic/20240906-secbench/shit-server/shit-server-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.136027736,false,false,
results/nodemedic/20240906-secbench/nestie/nestie-1.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,9.001364869,false,false,
results/nodemedic/20240906-secbench/http-file-server/http-file-server-0.2.6_NodeMedic,CWE-22,Exited 0,0.,0.,8.70616438,false,false,
results/nodemedic/20240906-secbench/node-mpv/node-mpv-0.12.2_NodeMedic,CWE-78,Exited 0,0.,0.,8.952635603,false,false,
results/nodemedic/20240906-secbench/rdf-graph-array/rdf-graph-array-0.3.0_NodeMedic,CWE-471,Exited 0,0.,0.,7.949919408,false,false,
results/nodemedic/20240906-secbench/roar-pidusage/roar-pidusage-1.1.6_NodeMedic,CWE-78,Exited 0,0.,0.,9.220842474,false,false,
results/nodemedic/20240906-secbench/promisehelpers/promisehelpers-0.0.5_NodeMedic,CWE-471,Exited 0,0.,0.,8.819313859,false,false,
results/nodemedic/20240906-secbench/vega-util/vega-util-1.13.0_NodeMedic,CWE-471,Exited 0,0.,0.,9.552051634,false,false,
