benchmark,cwe,marker,path_time,expl_time,total_time,detection,exploit,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/dist/gettext.iife.min.js_fast,CWE-XX,Exited 0,0.984,0.,0.984,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/dist/gettext.amd.js_fast,CWE-XX,Exited 0,1.065,0.,1.065,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/dist/gettext.iife.js_fast,CWE-XX,Exited 0,1.028,0.,1.028,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/dist/gettext.esm.js_fast,CWE-XX,Exited 0,0.965,0.,0.965,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/dist/gettext.esm.min.js_fast,CWE-XX,Exited 0,0.956,0.,0.956,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/dist/gettext.cjs.js_fast,CWE-XX,Exited 0,2.779,0.,2.779,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/lib/gettext.js_fast,CWE-XX,Exited 0,1.023,0.,1.023,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/tests/karma.config.js_fast,CWE-XX,Exited 0,0.728,0.,0.728,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/tests/browserTest.js_fast,CWE-XX,Exited 0,0.771,0.,0.771,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/tests/karma.config.dev.js_fast,CWE-XX,Exited 0,0.732,0.,0.732,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/tests/amd.js_fast,CWE-XX,Exited 0,0.697,0.,0.697,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gettext.js-2.0.0/src/tests/tests.js_fast,CWE-XX,Exited 0,3.032,0.,3.032,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/base64topdf-1.1.8/src/index.js_fast,CWE-XX,Exited 0,0.916,0.,0.916,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/network-0.6.1/src/test.js_fast,CWE-XX,Exited 0,0.903,0.,0.903,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/network-0.6.1/src/lib/linux.js_fast,CWE-XX,Exited 0,2.258,0.,2.258,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/network-0.6.1/src/lib/index.js_fast,CWE-XX,Exited 0,1.555,0.,1.555,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/network-0.6.1/src/lib/darwin.js_fast,CWE-XX,Exited 0,1.353,0.,1.353,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/network-0.6.1/src/lib/win32.js_fast,CWE-XX,Exited 0,1.568,0.,1.568,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/gh-markdown-cli-0.2.0/src/mdown.js_fast,CWE-XX,Exited 0,2.056,0.,2.056,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/file-source-0.6.1/src/index.js_fast,CWE-XX,Exited 0,1.011,0.,1.011,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/graphql-mesh-plugin-snapshot-0.95.1/src/esm/index.js_fast,CWE-XX,Exited 0,0.712,0.,0.712,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/graphql-mesh-plugin-snapshot-0.95.1/src/cjs/index.js_fast,CWE-XX,Exited 0,1.426,0.,1.426,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/smpltmpl-1.0.2/src/index.js_fast,CWE-XX,Exited 0,1.032,0.,1.032,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/init-0.1.2/src/init.js_fast,CWE-XX,Exited 0,5.891,0.,5.891,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/protoc-1.1.3/src/protoc.js_fast,CWE-XX,Exited 0,0.745,0.,0.745,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/protoc-1.1.3/src/index.js_fast,CWE-XX,Exited 0,1.517,0.,1.517,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/protoc-1.1.3/src/scripts/postinstall.js_fast,CWE-XX,Exited 0,0.902,0.,0.902,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/protoc-1.1.3/src/scripts/test.js_fast,CWE-XX,Exited 0,0.7,0.,0.7,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/awscred-1.5.0/src/index.js_fast,CWE-XX,Timeout,nan,nan,600.,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/simple-spellchecker-1.0.2/src/test.js_fast,CWE-XX,Exited 0,2.014,0.,2.014,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/simple-spellchecker-1.0.2/src/index.js_fast,CWE-XX,Exited 0,2.05,0.,2.05,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/simple-spellchecker-1.0.2/src/dictionary.js_fast,CWE-XX,Exited 0,1.616,0.,1.616,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/simple-spellchecker-1.0.2/src/cli.js_fast,CWE-XX,Exited 0,0.978,0.,0.978,failed,failed,
results/fast/zeroday/2024-11-14-FAST_44_out_v2/aaptjs-1.3.2/src/index.js_fast,CWE-XX,Exited 0,2.161,0.,2.161,failed,failed,
